,ProteinMPNN
2059_70_937,-1.6262
2059_70_633,-1.5815
2059_80_619,-1.5565
2059_70_69,-1.5771
2059_80_226,-1.5544
2059_70_797,-1.5831
2059_70_889,-1.6523
2059_70_677,-1.5714
2059_70_392,-1.5877
2059_70_887,-1.5362
2059_80_857,-1.5785
2059_80_370,-1.5794
2059_70_516,-1.5957
2059_70_761,-1.545
2059_70_3,-1.5607
2059_80_372,-1.5391
2059_70_368,-1.6215
2059_70_493,-1.6097
2059_80_143,-1.4961
2059_80_955,-1.5495
2059_70_528,-1.6057
2059_70_155,-1.5859
2059_70_978,-1.581
2059_70_994,-1.5596
2059_70_446,-1.5825
2059_70_193,-1.5874
2059_70_13,-1.6134
2059_80_539,-1.5884
2059_70_128,-1.4893
2059_80_723,-1.6092
2059_70_195,-1.5916
2059_70_595,-1.5952
2059_80_996,-1.6009
2059_70_126,-1.5306
2059_70_870,-1.6363
2059_70_991,-1.5323
2059_70_65,-1.5882
2059_70_589,-1.5616
2059_70_700,-1.6059
2059_70_787,-1.6002
2059,-1.6348
2059_70_783,-1.6056
2059_80_446,-1.5698
2059_70_263,-1.563
2059_70_401,-1.5421
2059_70_286,-1.5414
2059_70_634,-1.6068
2059_70_835,-1.6148
2059_80_829,-1.5707
2059_70_863,-1.5707
2059_70_871,-1.5587
2059_70_917,-1.5838
2059_70_567,-1.5341
2059_70_984,-1.5648
2059_70_706,-1.6015
2059_70_442,-1.5866
2059_70_537,-1.6111
2059_70_47,-1.6042
2059_70_445,-1.6131
2059_70_248,-1.5463
2059_70_276,-1.5359
2059_70_502,-1.5782
2059_80_593,-1.5837
2059_70_949,-1.6284
2059_70_788,-1.5817
2059_70_806,-1.5181
2059_70_520,-1.6273
2059_80_587,-1.5479
2059_70_426,-1.5969
2059_70_82,-1.5621
2059_80_805,-1.5618
2059_70_921,-1.6616
2059_70_226,-1.5849
2059_70_452,-1.5881
2059_70_111,-1.6102
2059_70_570,-1.5973
2059_70_926,-1.5748
2059_70_856,-1.6306
2059_70_373,-1.5964
2059_70_553,-1.5821
2059_70_205,-1.6059
2059_70_328,-1.5652
2059_70_377,-1.5554
2059_70_840,-1.5726
2059_70_823,-1.518
2059_80_263,-1.5646
2059_70_771,-1.5798
2059_70_305,-1.5928
2059_80_659,-1.5698
2059_70_1000,-1.5184
2059_80_899,-1.5745
2059_70_544,-1.5717
2059_70_337,-1.5693
2059_80_747,-1.5366
2059_70_411,-1.5977
2059_70_121,-1.5858
2059_70_233,-1.5729
2059_70_58,-1.5295
2059_70_150,-1.6062
2059_70_197,-1.5862
2059_70_749,-1.5299
2059_70_675,-1.5578
2059_70_860,-1.5274
2059_70_367,-1.5583
2059_70_269,-1.5673
2059_70_664,-1.5927
2059_70_297,-1.5824
2059_70_550,-1.5784
2059_70_546,-1.5771
2059_90_511,-1.5684
2059_80_616,-1.5684
2059_70_729,-1.5852
2059_70_284,-1.5614
2059_70_408,-1.5969
2059_70_616,-1.6261
2059_80_485,-1.5531
2059_80_735,-1.5792
2059_70_409,-1.6093
2059_70_473,-1.5643
2059_80_496,-1.5487
2059_70_50,-1.614
2059_70_767,-1.5528
2059_70_159,-1.5677
2059_70_333,-1.5852
2059_70_177,-1.5627
2059_70_505,-1.5442
2059_70_617,-1.5466
2059_80_961,-1.5257
2059_70_129,-1.6361
2059_80_952,-1.5072
2059_70_753,-1.5702
2059_70_448,-1.5755
2059_70_203,-1.5788
2059_70_125,-1.6344
2059_70_467,-1.5095
2059_70_380,-1.5755
2059_70_267,-1.5898
2059_70_627,-1.5804
2059_80_699,-1.5703
2059_80_667,-1.5917
2059_70_542,-1.5918
2059_70_541,-1.57
2059_70_775,-1.5673
2059_70_563,-1.5686
2059_70_786,-1.5841
2059_70_815,-1.6292
2059_70_574,-1.6174
2059_70_18,-1.5859
2059_80_354,-1.5143
2059_70_930,-1.6458
2059_70_191,-1.5963
2059_70_131,-1.5497
2059_70_332,-1.5797
2059_80_36,-1.5092
2059_70_208,-1.5955
2059_70_221,-1.6044
2059_70_115,-1.5765
2059_70_11,-1.5515
2059_70_630,-1.5517
2059_70_486,-1.574
2059_70_104,-1.5697
2059_80_426,-1.5579
2059_70_534,-1.6226
2059_70_247,-1.5881
2059_70_723,-1.5264
2059_70_792,-1.5839
2059_70_658,-1.5032
2059_70_908,-1.5839
2059_70_558,-1.574
2059_70_265,-1.563
2059_70_519,-1.5931
2059_70_642,-1.5573
2059_70_49,-1.5906
2059_70_782,-1.5442
2059_70_822,-1.5275
2059_70_451,-1.609
2059_70_186,-1.615
2059_70_972,-1.5774
2059_70_888,-1.5439
2059_70_613,-1.5842
2059_80_2,-1.5975
2059_70_619,-1.5319
2059_80_10,-1.5762
2059_70_266,-1.5249
2059_70_571,-1.6102
2059_70_564,-1.5858
2059_80_570,-1.5838
2059_70_518,-1.6056
2059_70_995,-1.5713
2059_70_244,-1.594
2059_70_435,-1.5589
2059_80_413,-1.4975
2059_70_472,-1.5632
2059_70_702,-1.5685
2059_70_817,-1.582
2059_80_785,-1.5928
2059_70_395,-1.6346
2059_70_903,-1.5667
2059_70_586,-1.5267
2059_70_504,-1.5362
2059_70_198,-1.59
